"Party","District","Member","Counties Represented"
"D","16","Gale Adcock","Wake"
"R","44","W. Ted Alexander","Cleveland,                         Gaston,                         Lincoln"
"D","19","Val Applewhite","Cumberland"
"R","11","Lisa S. Barnes","Franklin,                         Nash,                         Vance"
"D","17","Sydney Batch","Wake"
"R","26","Phil Berger","Guilford,                         Rockingham"
"D","14","Dan Blue","Wake"
"D","18","Mary Wills Bode","Granville,                         Wake"
"R","24","Danny Earl Britt, Jr.","Hoke,                         Robeson,                         Scotland"
"R","12","Jim Burgin","Harnett,                         Lee,                         Sampson"
"D","15","Jay J. Chaudhuri","Wake"
"R","50","Kevin Corbin","Cherokee,                         Clay,                         Graham,                         Haywood,                         Jackson,                         Macon,                         Swain,                         Transylvania"
"R","29","David W. Craven, Jr.","Anson,                         Montgomery,                         Randolph,                         Richmond,                         Union"
"R","46","Warren Daniel","Buncombe,                         Burke,                         McDowell"
"R","33","Carl Ford","Rowan,                         Stanly"
"R","25","Amy S. Galey","Alamance,                         Randolph"
"D","27","Michael Garrett","Guilford"
"D","13","Lisa Grafstein","Wake"
"R","3","Bobby Hanig","Bertie,                         Camden,                         Currituck,                         Gates,                         Halifax,                         Hertford,                         Martin,                         Northampton,                         Tyrrell,                         Warren"
"R","47","Ralph Hise","Alleghany,                         Ashe,                         Avery,                         Caldwell,                         Haywood,                         Madison,                         Mitchell,                         Watauga,                         Yancey"
"D","42","Rachel Hunt","Mecklenburg"
"R","9","Brent Jackson","Bladen,                         Duplin,                         Jones,                         Pender,                         Sampson"
"R","30","Steve Jarvis","Davidson,                         Davie"
"R","35","Todd Johnson","Cabarrus,                         Union"
"R","31","Joyce Krawiec","Forsyth,                         Stokes"
"R","6","Michael A. Lazzara","Onslow"
"R","7","Michael V. Lee","New Hanover"
"D","32","Paul A. Lowe, Jr.","Forsyth"
"D","41","Natasha R. Marcus","Mecklenburg"
"D","49","Julie Mayfield","Buncombe"
"R","21","Tom McInnis","Cumberland,                         Moore"
"D","23","Graig Meyer","Caswell,                         Orange,                         Person"
"R","48","Timothy D. Moffitt","Henderson,                         Polk,                         Rutherford"
"D","38","Mujtaba A. Mohammed","Mecklenburg"
"D","20","Natalie S. Murdock","Chatham,                         Durham"
"R","4","Buck Newton","Greene,                         Wayne,                         Wilson"
"R","34","Paul Newton","Cabarrus"
"R","43","Brad Overcash","Gaston"
"R","2","Jim Perry","Beaufort,                         Craven,                         Lenoir"
"R","45","Dean Proctor","Caldwell,                         Catawba"
"R","8","Bill Rabon","Brunswick,                         Columbus,                         New Hanover"
"D","28","Gladys A. Robinson","Guilford"
"D","39","DeAndrea Salvador","Mecklenburg"
"R","1","Norman W. Sanderson","Carteret,                         Chowan,                         Dare,                         Hyde,                         Pamlico,                         Pasquotank,                         Perquimans,                         Washington"
"R","10","Benton G. Sawrey","Johnston"
"R","37","Vickie Sawyer","Iredell,                         Mecklenburg"
"R","36","Eddie D. Settle","Alexander,                         Surry,                         Wilkes,                         Yadkin"
"D","5","Kandie D. Smith","Edgecombe,                         Pitt"
"D","40","Joyce Waddell","Mecklenburg"
"D","22","Mike Woodard","Durham"